index,date,Export,Profit,Import
1,2017Q1,132062,15980.6,116427
1,2017Q2,147043,14455,117798
1,2017Q3,151051,25944.5,120853
1,2017Q4,143538,18850.8,123400
1,2018Q1,145055,10994,132425
1,2018Q2,151617,18262.8,133153
1,2018Q3,153640,28691.1,130311
1,2018Q4,154547,19518.6,139314
2,2019Q1,132654,10549.9,123796
2,2019Q2,138493,10621.9,128772
2,2019Q3,134727,19955,124960
2,2019Q4,136358,18549.3,125813
2,2020Q1,130182,12718.5,121499
2,2020Q2,110339,4957.6,108390
2,2020Q3,130074,24487.2,114067
2,2020Q4,141903,33738.9,123677
3,2021Q1,146405,18971.3,136605
3,2021Q2,156730,21797.3,149231
3,2021Q3,164541,23598.7,156893
3,2021Q4,176725,20860.9,172366
3,2022Q1,173404,14881.4,177731
3,2022Q2,177121,9989.3,183512
3,2022Q3,174044,876.1,192338
3,2022Q4,159181,4084.1,177636
